id,bp_loc_id,count_id,description,temperature,sky,count_type,town,from_st_name,from_st_dir,to_st_name,to_st_dir,count_date,count_dow,cnt_0630,cnt_0645,cnt_0700,cnt_0715,cnt_0730,cnt_0745,cnt_0800,cnt_0815,cnt_0830,cnt_0845,cnt_0900,cnt_0915,cnt_0930,cnt_0945,cnt_1000,cnt_1015,cnt_1030,cnt_1045,cnt_1100,cnt_1115,cnt_1130,cnt_1145,cnt_1200,cnt_1215,cnt_1230,cnt_1245,cnt_1300,cnt_1315,cnt_1330,cnt_1345,cnt_1400,cnt_1415,cnt_1430,cnt_1445,cnt_1500,cnt_1515,cnt_1530,cnt_1545,cnt_1600,cnt_1615,cnt_1630,cnt_1645,cnt_1700,cnt_1715,cnt_1730,cnt_1745,cnt_1800,cnt_1815,cnt_1830,cnt_1845,cnt_1900,cnt_1915,cnt_1930,cnt_1945,cnt_2000,cnt_2015,cnt_2030,cnt_2045,cnt_total
9700,20253,20340,extracted from hourly automated vehicle counts,,-99,B,Boston,Quincy Street,EB,Quincy Street,EB,9/27/2016 0:00,Tue,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,2,2,21
9701,20253,20340,extracted from hourly automated vehicle counts,,-99,B,Boston,Quincy Street,EB,Quincy Street,EB,9/27/2016 0:00,Tue,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,1,0,1,1,1,17
9702,20254,20341,extracted from hourly automated vehicle counts,,-99,B,Boston,Warren Street,EB,Warren Street,EB,9/27/2016 0:00,Tue,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,2,3,3,3,4,1,2,2,2,0,0,0,1,1,1,1,2,46
9703,20254,20341,extracted from hourly automated vehicle counts,,-99,B,Boston,Warren Street,EB,Warren Street,EB,9/27/2016 0:00,Tue,0,1,1,2,2,2,2,2,2,2,1,1,1,2,1,1,1,2,2,2,2,3,0,1,1,1,2,2,2,2,1,1,2,2,0,0,0,0,1,1,1,1,1,1,1,2,0,1,1,1,0,0,1,1,0,0,1,1,68
9704,20255,20342,extracted from hourly automated vehicle counts,,-99,B,Boston,Seaver Street (Route 28),EB,Seaver Street (Route 28),EB,9/27/2016 0:00,Tue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9705,20255,20342,extracted from hourly automated vehicle counts,,-99,B,Boston,Seaver Street (Route 28),EB,Seaver Street (Route 28),EB,9/27/2016 0:00,Tue,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
9706,20256,20343,extracted from hourly automated vehicle counts,,-99,B,Boston,Chestnut Hill Avenue,EB,Chestnut Hill Avenue,EB,9/27/2016 0:00,Tue,1,1,1,1,1,1,0,1,1,1,1,2,2,2,1,1,1,1,1,1,1,2,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,2,2,2,2,2,3,3,1,2,2,2,1,1,1,2,71
9707,20256,20343,extracted from hourly automated vehicle counts,,-99,B,Boston,Chestnut Hill Avenue,EB,Chestnut Hill Avenue,EB,9/27/2016 0:00,Tue,0,1,1,1,1,2,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,1,1,2,1,1,1,1,1,2,2,2,0,0,1,1,1,1,2,2,2,2,2,2,1,1,2,2,1,2,2,2,0,0,1,1,60
9708,20257,20344,extracted from hourly automated vehicle counts,,-99,B,Boston,Blue Hill Avenue,EB,Blue Hill Avenue,EB,9/27/2016 0:00,Tue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,0,1,1,1,0,1,1,1,0,0,0,1,15
9709,20257,20344,extracted from hourly automated vehicle counts,,-99,B,Boston,Blue Hill Avenue,EB,Blue Hill Avenue,EB,9/27/2016 0:00,Tue,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,1,1,0,0,1,1,20
